,3.1 I,3.1 II,3.2 I,3.2 II,3.2 III,3.3 I,3.3 II,3.4 I,3.4 II,3.4 III,3.5 I,3.5 II,3.6 I,3.6 III,3.7 I,3.7 II,3.7 III,3.8 I,3.8 II,4.0 I,4.0 II,4.1 I,4.1 II,4.2 I,4.2 II,4.3 I,4.3 II,4.4 I,4.4 II,4.5 I,4.5 II,4.6 I,4.6 II,4.7 I,4.7 II,4.8 I,5.0 I,5.1 I,5.1 II,5.2 I,5.3 I,5.4 I,5.4 II,5.5 I,5.6 I,5.6 II,5.7 I,5.8 I,6.0 I,6.0 II,6.1 I
<<<<<<< HEAD
Aino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11861829424210808,0.14387063289270235,0.14051777837483156
Albedo,0.13659251172252648,0.1428745372140535,0.1344364827218858,0.13577572763059123,0.1426613699678347,0.14617732832412972,0.13503468045258876,0.1290448246860502,0.13212951893333305,0.1308922238271933,0.12667730661220875,0.12618861011808527,0.11994999489798398,0.10928102188956813,0.11911234985323076,0.10303054554151206,0.1202575885516734,0.11333167173930388,0.11900338443472433,0.11574189116333782,0.12529854133505106,0.11435252030980322,0.12591006914580663,0.11764892099842193,0.11522925763091459,0.12522737838647585,0.13067044522340449,0.11246193236926837,0.11789918826282944,0.11949107625132867,0.12089544453286463,0.1091750997878946,0.10502675005395574,0.10498560061015029,0.09864033836705535,0.11223638215791323,0.09012667720392128,0.11208354338890664,0.0926668224390822,0.09582145208157201,0.06285218418449064,0.08722095072493465,0.07290516255450356,0.08735071081174488,0.08965953814293458,0.05659397679791258,0.05953641896157339,0.06491132616865446,0.0604271006027165,0.06143876980701335,0.06178017059855241
Alhaitham,,,,,,,,0.10860492135282433,0.13584349625396666,0.13218913664558116,0.14155326900995951,0.14010443301793343,0.13349736742956236,0.12875292015869477,0.1390131602260871,0.14163223476113426,0.14809947828357903,0.13601050023657402,0.13326925469017378,0.13015394557322219,0.13121333053534057,0.13834830514390747,0.11394768638371222,0.11571554913012186,0.11411385948720525,0.12196296252647035,0.11361556578692039,0.10248177446010331,0.09909996474030387,0.10900108638853741,0.09333252969647436,0.09994707525426973,0.09984965671446086,0.09959023279530435,0.09486695927981086,0.10654012716353777,0.11624150717867363,0.09480786138153768,0.09810061762654901,0.08982242410662444,0.08501052726863298,0.08874612734071273,0.08921928955728754,0.0971660450592744,0.08736148890961723,0.08304389839688425,0.0824541506221771,0.07088617452868268,0.07424109251137702,0.09034232652386003,0.09175963692248629
Aloy,,0.019956028707542737,0.030681636372440788,0.05005041796095146,0.031148107813615322,0.01581133077162684,0.007510181788398142,0.03999881355786342,0.020992224625255334,0.03141814490730236,0.027374843942972585,0.015565874277309023,0.022636651302168267,0.019847066175286338,0.01795002739965549,0.02016066888983217,0.023066501311938853,0.021008818201416278,0.019865050301412494,0.00913850857705385,0.04677093733685236,0.02448331621224488,0.02879929601166162,0.022113935272141613,0.0432876502275527,0.01723104940032983,0.011642162364114802,0.045341723072683415,0.046447561465737926,0.01477002646393354,0.02676332349461986,0.018479894616036958,0.03906655300365323,,0.01709457274310787,0.00655173070475145,,0.07613314145556227,0.04240327362676917,0.04447700315403465,0.034307428899874315,0.0443846365392761,0.02771357462323154,0.024953323583957777,0.02679643185161634,0.031724876758780045,0.025024127103088503,0.03370216649589562,0.029103286208315305,0.01711265164583356,0.01797800480542446
Amber,0.06840488092330381,0.06085175714149567,0.06818131567779558,0.08355180838864536,0.07501061012677405,0.05821469002275564,0.06653408152616344,0.08786893748885666,0.05452904533198125,0.0796866803730105,0.06229511044623707,0.07876464768933349,0.06546504310535187,0.07718629876947207,0.0683818623580917,0.055665991302557775,0.07710605938672342,0.03893565903249198,0.041935664038462765,0.0333954020692786,0.055396685799081184,0.06070325875420006,0.0750123297274038,0.020647840617941393,0.04857993192848466,0.054516653535974825,0.05953278714602503,0.06202072638784605,0.09380221117376486,0.04368436486389543,0.04116102802304022,0.0830736977198907,0.06223220400744148,0.0468694502625097,0.03224838593374799,0.027093955714201343,0.06092448440584567,0.053829495696115906,0.0803852498401,0.09728995968158888,0.0690441286656362,0.06811698303007116,0.05268784894015189,0.052371530850475655,0.0843963895336224,0.04197523197528247,0.04264266317109858,0.047934022663073915,0.013343082009705652,0.024643337502075834,0.05095258425915622
Arataki Itto,0.12844485770449252,0.13408896298719772,0.1346018280858775,0.12702595463372085,0.1342491300260866,0.13375337912780985,0.13271303643142723,0.11887086624546005,0.12712743341758226,0.12671975688537868,0.13127667851737673,0.12282161154608486,0.12148483467417137,0.10831373520088987,0.10173780201190628,0.09509612930898537,0.0865800422930973,0.09244967462896424,0.09799433384682041,0.09648957194375918,0.10089619845666242,0.10119246605877835,0.10260686854106815,0.09050935313306066,0.08589099190055523,0.1016561417458238,0.10365634738554423,0.08419929706050382,0.08849132457119528,0.09557025063541368,0.10013092061683229,0.08253607060308091,0.07928879103410051,0.0767825261225828,0.06240085176022875,0.08724336879168178,0.058361929352932995,0.09407776553384242,0.06278622098530587,0.07627281881748393,0.07531343145934742,0.061629828795900586,0.05083762959527991,0.06377438115821575,0.06263494910746849,0.05774542405511575,0.043663703380863846,0.04694626043320033,0.04316917997525921,0.0555717359982839,0.03590080042094971
Arlecchino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14093998654395706,0.1516099508974325,0.14762423039859554,0.14052928187623662,0.14217979092339142,0.14636516259075188,0.13501994957659352,0.1401583424402847,0.13534004020111234,0.14219019346470654,0.14168669256042696,0.14240620624416453,0.1446624198568891,0.14057629565183596,0.14928394977595213,0.14657284550390703,0.13774716608670046,0.13076835173140186,0.13618581550379358,0.14958763069323383
Baizhu,,,,,,,,,,,,,,0.1378918399394982,0.1520189876097028,0.15012982533572725,0.1553714510066858,0.15432538803823587,0.1493745369442237,0.13672625946299583,0.13634885688801004,0.14398972739963095,0.13704104002253303,0.14501889262869813,0.14162927208752743,0.14176241384128005,0.14119110963230666,0.13327224819560896,0.13237644689972936,0.14286088609387745,0.13086122156392851,0.13813790856302788,0.13499025238153295,0.13593311098322738,0.13336327231745337,0.1328007779653291,0.1271279747770262,0.12699974542732106,0.12491190781650462,0.11855183984533592,0.10214751321364032,0.10573981852560438,0.10884786970959034,0.12401890249155595,0.11239450428402607,0.10885030879931654,0.09280473873810922,0.0888283260393487,0.1004659802980137,0.12192310185732255,0.1260419033423463
Barbara,0.1527239198818015,0.1464772471027487,0.150468732501553,0.14814384409052167,0.15253740711234764,0.1525564538915776,0.1512706100936932,0.1462134692917813,0.1485036058292637,0.144650480237293,0.14575030142704706,0.13813544111242865,0.14291136447125674,0.14787976048078225,0.13749517196266411,0.1382290235386273,0.13622142340373913,0.15656365247807902,0.15561803665927737,0.15239130553832858,0.14863098127182728,0.14240882806731273,0.13561027571532092,0.13563367537034532,0.12838370260135776,0.12903657616332767,0.12002419689515828,0.11964365968839535,0.12144214973580933,0.11552443629804189,0.12363339285331706,0.12514121819739468,0.12008167932366441,0.13241509898224038,0.13325195888506786,0.1110093054087104,0.11759927321475999,0.10831576593257883,0.10784550322085046,0.13145374669405346,0.0921053304751838,0.11049522583269128,0.10413440732566004,0.08430141850140319,0.08385763948478551,0.07329725548146131,0.09117857336134641,0.11007872383931162,0.13232052287926044,0.10721652364680523,0.1119153887667844
Beidou,0.13175882718592735,0.11908815328431495,0.13891414440874142,0.11983029357602058,0.10341987253713568,0.1381452056045845,0.10525204004268356,0.11311819310727107,0.12446632328819479,0.12209837225705475,0.11241584041466866,0.10382795280069226,0.1224603994323525,0.13103643250591632,0.09843522424538922,0.12066240574379554,0.11920210730366766,0.10894677429808734,0.12350660840508154,0.1132883147331536,0.10631308040492375,0.09897758061112247,0.08583316617250156,0.11696536267566855,0.10965227405875347,0.11432691941360211,0.10682377808905186,0.10992414958946614,0.10620487515397992,0.12184613893596678,0.11044287927891247,0.110460083283721,0.10176981524334223,0.10922611798939838,0.12252908323369656,0.11045003966227088,0.08861985392870578,0.09385933596539156,0.10050910874886443,0.08689340018351727,0.08382108690503859,0.08568552744617887,0.09967815574666675,0.07410009203891868,0.06736556866398902,0.045758424533661704,0.025553969567588833,0.07985665406136785,0.07602960560193969,0.061780334622223154,0.04395555356756699
Bennett,0.16019702955824966,0.16039258732637895,0.15655906056396932,0.16038775944945316,0.1626672477098758,0.1567377067566012,0.15400384382338997,0.15197815655924188,0.15412658718584277,0.15073367100590557,0.1541303208094984,0.15402835106337923,0.16027058918324918,0.1607059803330252,0.1605506477800497,0.1715336467967498,0.17420003599507553,0.17221535171975677,0.1675259200914402,0.16479789020596408,0.16272865235782744,0.15332032502295315,0.14529869111238228,0.15680859295789384,0.1538193176630054,0.1467523266815065,0.14380176967526043,0.14483455692391903,0.14697827869029287,0.14127574760128242,0.14515867546526814,0.1450404902204858,0.15396442463925472,0.15244486689992212,0.15686491865014576,0.15016014546270093,0.15116115954855722,0.146295425661344,0.14731057783885138,0.14484247884852888,0.1445417010309756,0.14168669256042693,0.14473938872792294,0.14798754281275578,0.1477267098770194,0.15566132128542226,0.15486556828893722,0.14884063025300687,0.1485691486911608,0.1454662490997322,0.15454040461634544
Candace,0.04445263976095729,0.050952522208393546,0.05119430700774669,0.036650561672508374,0.04780789697143377,0.03618293440249463,0.034574227367107885,0.04434719213537762,0.04465745343915073,0.06863922396456594,0.029679763149303026,0.05134957276962692,0.051893821935563245,0.0696916509987738,0.06404966180013295,0.04400872525291775,0.066772502035749,0.0637012258690081,0.07318672732644442,0.06884374438289446,0.06563813106825804,0.06293944133664153,0.11683322688947306,0.0749803133647418,0.08188970650566982,0.07251503052336161,0.08467850748209758,0.07419981653342204,0.07655236691970152,0.06898750752894316,0.0724607122846222,0.06020771511503969,0.06651037577911899,0.04795707750648779,0.06147532283998088,0.013535033799571,0.06153821567260048,0.052602143664470045,0.0568121019270023,0.06477854728127126,0.034887091144675746,0.05425839227577601,0.059357126988454224,0.012091693964579995,0.03264414483959971,0.03303405013631835,0.048745469190657316,0.07465006112379019,0.053125284947691004,0.041690234475420175,0.047571615659868956
Charlotte,,,,,,,,,,,,,,,,,,,,,,,,0.11985266861324281,0.12515448127993226,0.12062897500149053,0.11399936730111736,0.12207336592117744,0.11451670568408898,0.11119577106214382,0.10678722360349269,0.11903860097034911,0.12303582219082985,0.10990294146088028,0.12075129081020908,0.11248164608571848,0.12731458843712065,0.09352931248222525,0.10147747898568266,0.1033379405193025,0.11579294494558072,0.11575470009965136,0.1123470420949462,0.12346128094567038,0.10727988369740254,0.14452088041218109,0.1461266297984059,0.09486074920275536,0.09184108202227112,0.09483389787797189,0.08400215608055014
Chasca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137041495759781,0.13263591686754,0.12132548778934386,0.12240090405869244,0.12051630034848515,0.1319194517237841,0.113826026108607,0.12120966438600363,0.12318963730696901,0.1313701767560472,0.12656078986735828,0.12523485346097016
Chevreuse,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08238801525967718,0.07356202769196643,0.07282547506318952,0.08424840507322197,0.08253876687326343,0.11367735903937859,0.11691739274188806,0.08636729623922791,0.07364150186090901,0.08932251386989308,0.08753485751470272,0.08380990509205641,0.09123491471956306,0.10286343066272613,0.1046222103052004,0.09478669206657277,0.08814131752329513,0.0955825863915701,0.09238182048550742,0.10851203031966247,0.09624719167992922,0.0987613355945772,0.09718984223185143,0.0793355455886951,0.10776530957758057
Chiori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1334521129219312,0.13813585756514457,0.12081026616104824,0.12002374637390764,0.1262573210024208,0.11590356166658207,0.12429571072432997,0.11107875486387156,0.13440226750095738,0.13899907502387637,0.13071049708037236,0.12788245061824854,0.12307370000564735,0.12076924389067926,0.13049747508336595,0.1271821194055198,0.12404909403867491,0.12351033637359671,0.11311818502036554,0.12340668063530387,0.1030441996695855,0.12264691536352457
